,,
MIN,Item Name,Department
108333149,Morrisons The Best Multi-Seed Loaf 800G,Bakery
108333190,Morrisons The Best Sunflower & Pumpkin Bread 800G,Bakery
110114834,Morrisons Panini 2Pk,Bakery
110998781,Morrisons Ciabattas 2 Pack,Bakery
107168209,Morrisons Butter Croissants 4Pk,Bakery
111167276,Market Street Snack Ciabattas 4Pk,Bakery
110270191,Morrisons Almond Croissants 2Pk,Bakery
107391591,Morrisons Hand Stretched Ciabatta,Bakery
109706912,Morrisons Pain Au Chocolat 2Pk,Bakery
105775591,Pain Au Raisin 2Pk,Bakery
104738325,Chocolate Twist 2 Pack,Bakery
113156925,Market Street Deli Rolls With Sourdough 2Pk,Bakery
110455129,Morrisons Pain Au Chocolat,Bakery
108221729,Morrisons Cinnamon Swirl,Bakery
108154212,Morrisons Stonebaked Ciabatta 2Pk,Bakery
113153100,Market Street Vienna Rolls 4Pk,Bakery
104726720,M Tiger Bread 800G,Bakery
104738296,Morrisons Coburg Cob 400G,Bakery
112517493,MORRISONS THE BEST OLIVE BLOOMER,Bakery
104721494,White Split Tin 800G,Bakery
113877204,MORRISONS THE BEST BROWN SOURDOUGH PAVE 400G,Bakery
104738317,Wheat Spelt & Rye Bread 400G,Bakery
104738026,Farmhouse/White Bread 800G,Bakery
113887576,MORRISONS THE BEST CALIFORNIAN SOURDOUGH 600G,Bakery
106337541,Morrisons Sea Salt & Pepper Bloomer 800G,Bakery
104728872,M Granary Loaf/ Malted Brown 800G,Bakery
104726439,M Wholemeal Bread 800G,Bakery
112517451,MORRISONS THE BEST CHEESE BLOOMER,Bakery
104814981,Wheat Spelt & Rye Tin Loaf 800G,Bakery
104726674,M Tiger Bread 400G,Bakery
113875971,MORRISONS THE BEST MALTED BARLEY & RYE BOULE 400G,Bakery
104726471,M Wholemeal Bread 400G,Bakery
104738069,Morrisons White Farmhouse 400G,Bakery
106308441,Morrisons Black Pepper And Sea Salt Bloomer 400G,Bakery
104721718,Bloomer/White Bread 400G,Bakery
104721654,Bloomer/White Bread 800G,Bakery
104721582,M' White Split Tin 400G,Bakery
104728995,M Granary Loaf/ Malted Brown Sliced 800G,Bakery
105735361,Tiger Loaf Sliced 400G,Bakery
106361445,Morrisons Farmhouse Sliced Loaf 400G,Bakery
105735290,Tiger Bloomer Sliced 800G,Bakery
106361488,Morrisons Farmhouse Sliced Loaf 800G,Bakery
104721603,M' White Split Tin 400G Sliced,Bakery
104729138,M Granary Loaf/ Matled Brown Sliced 400G,Bakery
104737939,M Large White Baps 6Pk,Bakery
110986085,MORRISONS MEDIUM WHITE BAPS 4PK,Bakery
104744611,M Tiger Rolls 4 Pack,Bakery
111013630,Morrisons 6 Medium Cheese Baps,Bakery
104744573,M Crusty Rolls 6 Pack,Bakery
104738131,M Large Tiger Baps 6 Pack,Bakery
104742501,M Large Baps Cheese/Onion 4Pk,Bakery
104744178,M Large Baps/ Wholemeal 6 Pack,Bakery
104788592,Market Street Large White Baps 18Pk,Bakery
104742480,M Sub Rolls White Bread 4 Pack,Bakery
108363102,Morrisons Large Salt & Pepper Baps 6Pk,Bakery
107391726,Morrisons Large Salt & Pepper Baps 6Pk,Bakery
104750682,Large White Baps 2Pk,Bakery
111040030,Morrisons 24 Medium White Baps,Bakery
110986069,Morrisons Medium Granary Baps 4Pk,Bakery
104745891,Scotch Morning Rolls 6Pk,Bakery
110986106,Morrisons Medium Wholemeal Baps 4Pk,Bakery
104742869,M Large Granary Baps 6 Pack,Bakery
104742025,M Finger Rolls White 6 Pack,Bakery
105055981,Large Wholemeal Baps 2Pk,Bakery
104745912,Well Fired Scotch Rolls 6Pk,Bakery
107391742,Morrisons Fruited Teacakes 4 Pack,Bakery
104739424,Morrisons The Best Fruit Scones 4 Pack,Bakery
104739512,Hot Cross Buns 4Pk,Bakery
104745630,Doughnuts/Strawberry 5Pk,Bakery
104745576,Doughnuts/Raspberry 5Pk,Bakery
104745613,Doughnuts/Custard 5Pk,Bakery
104745832,Iced Ring Doughnuts 4Pk,Bakery
104745461,Doughnuts/Sugar Ring 6Pk,Bakery
104744830,Potato Scones 6 Pack,Bakery
111250491,Morrisons Toffee Popcorn 250G,Bakery
111004653,Morrisons Salted Popcorn 120G,Bakery
104746157,M Jam Doughnuts 5 Pack (Non Bakery Stores),Bakery
104739619,Scottish Crumpets 6 Pack,Bakery
104736151,M Large White Baguette 400G,Bakery
104737891,Sandwich Baguette White 4Pk,Bakery
104735722,Morrisons Small White Baguette,Bakery
104735773,M Small Tiger Stick,Bakery
106308118,Morrisons Black Pepper And Sea Salt Tiger Short Stick,Bakery
114406421,FTO Giant Triple Chocolate Cookie It's a girl (Serves 10),Cake shop
114452241,FTO Giant Brownie - Decorate your own (Serves 10),Cake shop
114452101,FTO Giant Triple Chocolate Cookie Happy Anniversary (Serves 10),Cake shop
108255128,FTO Cookies Party Platter (20 Pack),Cakeshop
104746481,FTO Raspberry Iced Ring Doughnuts (12 Pack),Cakeshop
112638877,FTO Raspberry Mini Sponge Sharing Platter (16 Pieces),Cakeshop
105630412,FTO Large Fresh Cream Strawberry Gateau (Serves 16),Cakeshop
112638818,FTO Chocolate Mini Sponge Sharing Platter (16 Pieces),Cakeshop
112390091,FTO Chocolate Party Platter (13 Pack),Cakeshop
112638851,FTO Lemon Mini Sponge Sharing Platter (16 Pieces),Cakeshop
109905356,FTO The Best Scone Platter (9 Pack),Cakeshop
109905313,FTO Fruit Tart Platter (6 Pack),Cakeshop
112018643,FTO Pastries Platter (8 Pack),Cakeshop
112744119,FTO Muffin Platter (9 Pack),Cakeshop
102398726,FTO Whole Chocolate Fudge Cake (14 Slices),Cakeshop
112594376,FTO Whole Victoria Sponge Cake (14 Slices),Cakeshop
111443146,FTO Cream Cake Selection (4 Pack),Cakeshop
113171818,FTO Whole Carrot Cake (14 Slices),Cakeshop
112654092,FTO Whole Lemon Cake (14 Slices),Cakeshop
114399865,FTO Giant Milk Chocolate Cookie Happy Birthday (Serves 10),Cakeshop
113380986,FTO Whole Lemon Meringue Cake (14 Slices),Cakeshop
114452970,FTO Giant Chocolate Brownie Happy Birthday (Serves 10),Cakeshop
114400053,FTO Giant Triple Chocolate Cookie Happy Birthday (Serves 10),Cakeshop
113171949,FTO Whole Coffee And Walnut Cake (14 Slices),Cakeshop
114399911,FTO Giant Milk Chocolate Cookie - Decorate your own (Serves 10),Cakeshop
114399937,FTO Giant Milk Chocolate Cookie Good Luck (Serves 10),Cakeshop
114399996,FTO Giant Milk Chocolate Cookie It's a girl (Serves 10),Cakeshop
114452937,FTO Giant Chocolate Brownie It's a Girl! (Serves 10),Cakeshop
