MIN,Item Name,Department
104220201,M LARGE UNSMOKED GAMMON JOINT,Bacon
104220235,M LARGE SMK GAMMON JOINT 5.2KG,Bacon
104226240,M GAMMON JOINT 2.2KG,Bacon
105035699,M Medium Smoked Gammon Joint,Bacon
106789652,Morrisons Smoked Gammon Joint 1.4Kg,Bacon
102793312,Prepared In Store British Topside Steak 230G,Beef
102793321,Prepared In Store British Topside Joint 1.35Kg,Beef
102793339,Prepared In Store British Diced Topside 290G,Beef
102793363,Prepared In Store British Silverside Joint 0.9Kg,Beef
102793380,Prepared In Store British Salmon Cut Joint 0.7Kg,Beef
102793419,Prepared In Store British Brisket Joint 1.35Kg,Beef
102793427,Prepared In Store British Thick Rib Joint 950G,Beef
102793478,Prepared In Store British Rib Eye Steak 290G,Beef
102793494,Prepared In Store British Fillet Steak 150G,Beef
102793507,Prepared In Store British Rump Steak 350G,Beef
102793540,Prepared In Store British Sirloin Steak 300G,Beef
102793654,Market Street British Best Braising Steak 0.6Kg,Beef
102793662,Market Street British Beef Braising Steak 0.6Kg,Beef
102793689,British Beef Mince 550G,Beef
102793769,Market Street British Lean Casserole Steak 0.65Kg,Beef
102793865,Prepared In Store British Beef Sandwich Steak 250G,Beef
102794016,Prepared In Store Scotch Topside Joint 1Kg,Beef
102794024,Prepared In Store Scotch Diced Topside 540G,Beef
102794041,Prepared In Store Scotch Salmon Cut Joint 880G,Beef
102794083,Prepared In Store Scotch Thick Rib Joint 690G,Beef
102794139,Prepared In Store Scotch Rib Eye Steak 200G,Beef
102794155,Prepared In Store Scotch Fillet Steak 200G,Beef
102794163,Market Street Scottish Rump Popeseye Steak 0.625Kg,Beef
102794201,Prepared In Store Scotch Sirloin Steaks 200G,Beef
102794286,Market Street Scottish Best Braising Steak 0.6Kg,Beef
102794294,Market Street Scottish Shoulder Steak Braising 600G,Beef
102794315,Market Street Scottish Butchers Mince Steak 0.625Kg,Beef
102794403,Market Street Scottish Lean Casserole Steak 0.65Kg,Beef
104597622,Handmade British Beef Steak Burgers X2,Beef
104597665,Handmade British Beef Steak Burgers X4,Beef
104597673,Handmade Scotch Beef Steak Burgers X4,Beef
108333149,Morrisons The Best Multi-Seed Loaf 800G,Bought In Breads
108333190,Morrisons The Best Sunflower & Pumpkin Bread 800G,Bought In Breads
105492742,Morrisons Belgian Bun 2Pk,Cakeshop
105493913,Morrisons Cinnamon Bun 2Pk,Cakeshop
105499071,Market Street Cream Chocolate Eclairs 4 Pk,Cakeshop
105529322,Morrisons Profiterole Stack 12Pk,Cakeshop
105615167,M Blueberry Muffins 4Pk,Cakeshop
